Results for running random tests:
randomtestadventurer.c:
RANDOM TESTING: adventurer 
SEED 225 FAIL: expected hand count = 229, actual = 225
SEED 439 FAIL: expected hand count = 443, actual = 439
SEED 2117940143 FAIL: expected treasures in hand = 52, actual = 53
SEED 396 FAIL: expected hand count = 400, actual = 396
SEED 11 FAIL: expected hand count = 15, actual = 11
SEED 205 FAIL: expected hand count = 209, actual = 205
SEED 196 FAIL: expected hand count = 200, actual = 196
SEED 476 FAIL: expected hand count = 480, actual = 476
SEED 361 FAIL: expected hand count = 365, actual = 361
SEED 1204503521 FAIL: expected treasures in hand = 3, actual = 4
SEED 24 FAIL: expected hand count = 28, actual = 24
SEED 99 FAIL: expected hand count = 103, actual = 99
SEED 1949682329 FAIL: expected treasures in hand = 18, actual = 20
SEED 87 FAIL: expected hand count = 91, actual = 87
SEED 254 FAIL: expected hand count = 258, actual = 254
SEED 516472994 FAIL: expected treasures in hand = 14, actual = 15
SEED 119 FAIL: expected hand count = 123, actual = 119
SEED 338 FAIL: expected hand count = 342, actual = 338
SEED 412 FAIL: expected hand count = 416, actual = 412
SEED 206 FAIL: expected hand count = 210, actual = 206
SEED 270 FAIL: expected hand count = 274, actual = 270
SEED 256 FAIL: expected hand count = 260, actual = 256
SEED 581552750 FAIL: expected treasures in hand = 23, actual = 24
SEED 208 FAIL: expected hand count = 212, actual = 208
SEED 1531077176 FAIL: expected treasures in hand = 22, actual = 24
SEED 152 FAIL: expected hand count = 156, actual = 152
SEED 1862922945 FAIL: expected treasures in hand = 32, actual = 33
SEED 260 FAIL: expected hand count = 264, actual = 260
SEED 2143653805 FAIL: expected treasures in hand = 7, actual = 6
SEED 43 FAIL: expected hand count = 47, actual = 43
SEED 1430385001 FAIL: expected treasures in hand = 11, actual = 12
SEED 118 FAIL: expected hand count = 122, actual = 118
SEED 438 FAIL: expected hand count = 442, actual = 438
SEED 1762641334 FAIL: expected treasures in hand = 4, actual = 5
SEED 36 FAIL: expected hand count = 40, actual = 36
SEED 924046604 FAIL: expected treasures in hand = 21, actual = 22
SEED 162 FAIL: expected hand count = 166, actual = 162
SEED 110 FAIL: expected hand count = 114, actual = 110
SEED 1424160813 FAIL: expected treasures in hand = 10, actual = 11
SEED 61 FAIL: expected hand count = 65, actual = 61
SEED 212 FAIL: expected hand count = 216, actual = 212
SEED 775461185 FAIL: expected treasures in hand = 38, actual = 39
SEED 285 FAIL: expected hand count = 289, actual = 285
SEED 459 FAIL: expected hand count = 463, actual = 459
SEED 1498293978 FAIL: expected treasures in hand = 51, actual = 52
SEED 411 FAIL: expected hand count = 415, actual = 411
SEED 477 FAIL: expected hand count = 481, actual = 477
SEED 84 FAIL: expected hand count = 88, actual = 84
SEED 688884642 FAIL: expected treasures in hand = 40, actual = 41
SEED 308 FAIL: expected hand count = 312, actual = 308
SEED 206 FAIL: expected hand count = 210, actual = 206
SEED 126969660 FAIL: expected treasures in hand = 49, actual = 50
SEED 491 FAIL: expected hand count = 495, actual = 491
SEED 914539895 FAIL: expected treasures in hand = 7, actual = 8
SEED 22 FAIL: expected hand count = 26, actual = 22
SEED 236 FAIL: expected hand count = 240, actual = 236
SEED 281 FAIL: expected hand count = 285, actual = 281
SEED 331 FAIL: expected hand count = 335, actual = 331
SEED 586801951 FAIL: expected treasures in hand = 41, actual = 43
SEED 471 FAIL: expected hand count = 475, actual = 471
SEED 191 FAIL: expected hand count = 195, actual = 191
SEED 550497886 FAIL: expected treasures in hand = 35, actual = 36
SEED 249 FAIL: expected hand count = 253, actual = 249
SEED 307 FAIL: expected hand count = 311, actual = 307
SEED 32 FAIL: expected hand count = 36, actual = 32
SEED 1594836667 FAIL: expected treasures in hand = 61, actual = 63
SEED 433 FAIL: expected hand count = 437, actual = 433
SEED 489 FAIL: expected hand count = 493, actual = 489
SEED 404 FAIL: expected hand count = 408, actual = 404
SEED 325 FAIL: expected hand count = 329, actual = 325
SEED 344 FAIL: expected hand count = 348, actual = 344
SEED 1488020794 FAIL: expected treasures in hand = 36, actual = 37
SEED 234 FAIL: expected hand count = 238, actual = 234
SEED 363 FAIL: expected hand count = 367, actual = 363
SEED 328 FAIL: expected hand count = 332, actual = 328
SEED 1146665289 FAIL: expected treasures in hand = 55, actual = 56
SEED 463 FAIL: expected hand count = 467, actual = 463
SEED 406 FAIL: expected hand count = 410, actual = 406
SEED 406 FAIL: expected hand count = 410, actual = 406
SEED 1145169553 FAIL: expected treasures in hand = 6, actual = 7
SEED 35 FAIL: expected hand count = 39, actual = 35
SEED 1384078801 FAIL: expected treasures in hand = 34, actual = 35
SEED 277 FAIL: expected hand count = 281, actual = 277
SEED 300 FAIL: expected hand count = 304, actual = 300
SEED 906016366 FAIL: expected treasures in hand = 23, actual = 24
SEED 226 FAIL: expected hand count = 230, actual = 226
SEED 339 FAIL: expected hand count = 343, actual = 339
SEED 944177723 FAIL: expected treasures in hand = 41, actual = 42
SEED 334 FAIL: expected hand count = 338, actual = 334
SEED 490 FAIL: expected hand count = 494, actual = 490
SEED 454294160 FAIL: expected treasures in hand = 32, actual = 33
SEED 262 FAIL: expected hand count = 266, actual = 262
SEED 1295193973 FAIL: expected treasures in hand = 58, actual = 59
SEED 497 FAIL: expected hand count = 501, actual = 497
SEED 306 FAIL: expected hand count = 310, actual = 306
SEED 217 FAIL: expected hand count = 221, actual = 217
SEED 337 FAIL: expected hand count = 341, actual = 337
SEED 149 FAIL: expected hand count = 153, actual = 149
SEED 1594868068 FAIL: expected treasures in hand = 60, actual = 61
SEED 459 FAIL: expected hand count = 463, actual = 459
SEED 293 FAIL: expected hand count = 297, actual = 293
SEED 298 FAIL: expected hand count = 302, actual = 298
SEED 371 FAIL: expected hand count = 375, actual = 371
SEED 425 FAIL: expected hand count = 429, actual = 425
SEED 848500533 FAIL: expected treasures in hand = 15, actual = 16
